id	name	reactome_class
168276	 NS1 Mediated Effects on Host Pathways	Pathway
5672950_RLE	"Activator" RAF:YWHAB dimer binds RAS:GTP	Reaction
71593_RLE	((1,6)-alpha-glucosyl)poly((1,4)-alpha-glucosyl)glycogenin => poly{(1,4)-alpha-glucosyl} glycogenin + alpha-D-glucose	Reaction
109624_RLE	(2'-deoxy)adenosine + ATP => (d)AMP + ADP [ADK]	Reaction
74241_RLE	(2'-deoxy)adenosine + H2O => (2'-deoxy)inosine + NH3 [ADA]	Reaction
73598_RLE	(2'-deoxy)cytidine + ATP => (d)CMP + ADP [DCK]	Reaction
193455_RLE	(24R, 25R) 3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA is oxidized to 3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-one-CoA	Reaction
193508_RLE	(24R, 25R) 3alpha,7alpha,24-trihydroxy-5beta-cholestanoyl-CoA is oxidized to 3alpha,7alpha-dihydroxy-5beta-cholest-24-one-CoA	Reaction
389889_RLE	(2S)-pristanoyl-CoA + O2 => trans-2,3-dehydropristanoyl-CoA + H2O2 (ACOX2)	Reaction
389891_RLE	(2S)-pristanoyl-CoA + O2 => trans-2,3-dehydropristanoyl-CoA + H2O2 (ACOX3)	Reaction
169901_RLE	(ARMS)Rap1-GTP binds and activates B-Raf	Reaction
110141_RLE	(d)ADP + ADP <=> (d)AMP + ATP [AK1]	Reaction
110137_RLE	(d)ADP or (d)CDP + ADP <=> (d)AMP or (d)CMP + ATP	Reaction
74220_RLE	(d)AMP + ATP <=> (d)ADP + ADP [AK1]	Reaction
109387_RLE	(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate [NT5C1A]	Reaction
75125_RLE	(d)CDP or UDP + ADP <=> (d)CMP or UMP + ATP [CMPK1]	Reaction
73548_RLE	(d)CMP or UMP + ATP <=> (d)CDP or UDP + ADP [CMPK1]	Reaction
109380_RLE	(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate [NT5C1A]	Reaction
109449_RLE	(d)CMP, TMP, or (d)UMP + H2O => (deoxy)cytidine, thymidine, or (deoxy)uridine + orthophosphate [NT5C3]	Reaction
110133_RLE	(d)GDP + ADP <=> (d)GMP + ATP [GUK1]	Reaction
73788_RLE	(d)GMP + ATP <=> (d)GDP + ADP [GUK1]	Reaction
74248_RLE	(d)GMP or (d)IMP + H2O => (2'-deoxy)guanosine or (2'-deoxy)inosine + orthophosphate [NT5C2]	Reaction
109470_RLE	(d)GMP or (d)IMP + H2O => (d)G or (d)I + orthophosphate [NT5C]	Reaction
482619_RLE	(d)NDP + ATP <=> (d)NTP + ADP [NME1,2,3]	Reaction
482804_RLE	(d)NDP + ATP <=> (d)NTP + ADP [NME4]	Reaction
482621_RLE	(d)NTP + ADP <=> (d)NDP + ATP [NME1,2,3]	Reaction
482812_RLE	(d)NTP + ADP <=> (d)NDP + ATP [NME4]	Reaction
73608_RLE	(deoxy)cytidine + H2O => (deoxy)uridine + NH4+ [CDA]	Reaction
74249_RLE	(deoxy)guanosine + orthophosphate <=> guanine + (deoxy)ribose 1-phosphate [NP]	Reaction
74242_RLE	(deoxy)inosine + orthophosphate <=> hypoxanthine + (deoxy)ribose 1-phosphate [NP]	Reaction
74376_RLE	(deoxy)uridine + orthophosphate <=> uracil + (deoxy)ribose 1-phosphate [UPP]	Reaction
162742_RLE	(ethanolamineP) mannose (a1-2) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI -> (ethanolamineP) mannose (a1-2) (ethanolamineP) mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI	Reaction
162873_RLE	(ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + dolichol phosphate D-mannose -> mannose (a1-6) (ethanolamineP) mannose (a1-4) glucosaminyl-acyl-PI + dolichol phosphate	Reaction
170979_RLE	(Frs2)C3G stimulates nucleotide exchange on Rap1	Reaction
170965_RLE	(Frs2)Rap1-GTP binds to and activates B-Raf	Reaction
